region,confirmed,deceased,active,recovered,vaccinated,population
Zimbabwe,189567,4779,50707,134081,4038743,15178913
Kiribati,,,,,59492,
Palau,8,,,8,,18220
Summer Olympics 2020,,,,,,
Tonga,1,,,1,73296,107445
United States,51696205,827206,10353854,40515145,240775382,333839503
India,34738584,477170,89943,34171471,825531190,1399828108
Brazil,22212343,617784,180241,21414318,165393977,214767569
United Kingdom,11279428,147173,1390401,9741854,51393664,68407231
Russia,10186823,296180,938377,8952266,71003850,146226276
Germany,6788546,108836,955610,5724100,60888551,84175561
Spain,,,,,38607797,46781255
Italy,5364852,135544,347472,4881836,47820980,60331833
Colombia,5105285,129399,30366,4945520,40112363,51675252
Mexico,3932545,297835,348792,3285918,81785946,130911878
Ukraine,3604549,92929,186621,3324999,14355538,43349525
Netherlands,2966744,20420,587921,2358403,13292944,17190297
Malaysia,2715847,31073,54094,2630680,25936080,32971734
Peru,2260180,202076,,,23574494,33642689
Belgium,1999764,27895,484347,1487522,8879748,11663349
Canada,1874473,30040,54803,1789630,31382974,38225700
Chile,1790524,38840,55337,1696347,17123006,19355981
Japan,1729582,18379,1118,1710085,100125316,125910309
Pakistan,1290848,28870,9582,1252396,86968178,227153261
Sweden,1250885,15197,62193,1173495,7707313,10191301
Australia,250616,2146,29502,218968,20309711,25932108
Reunion,67237,393,,62026,,904650
Guadeloupe,55441,749,,2250,,400224
French Guiana,46732,336,,11254,,309975
Martinique,46700,749,,104,,374840
French Polynesia,46342,636,,,,283281
Channel Islands,21667,110,,19632,,176205
Mayotte,21180,185,,2964,,282418
Curacao,17747,184,,17351,,165074
Aruba,16778,180,,16339,,107429
Isle of Man,13037,67,,12330,,85691
New Caledonia,12502,280,,12032,,289508
Cayman Islands,8097,9,,4660,,66849
Gibraltar,7778,100,,7302,,33676
Bermuda,5815,106,,5647,,61942
Sint Maarten,4684,75,,4557,,43587
Faroe Islands,4639,13,,4262,,49134
Saint Martin,4008,56,,1399,,39629
Caribbean Netherlands,3193,22,,3057,,26579
Turks and Caicos Islands,3163,25,,3084,,39482
British Virgin Islands,2886,39,,,,30525
Greenland,1969,,,1736,,56914
Saint Barthelemy,1621,6,,,,9921
Anguilla,1592,4,,1521,,15199
Wallis and Futuna,454,7,9,438,6016,10951
Saint Pierre and Miquelon,96,,,74,,5753
Falkland Islands,83,,,,,3628
Montserrat,44,1,,43,,4996
Western Sahara,10,1,,8,,618765
Saint Helena,2,,,2,4361,6103
Micronesia,1,,,1,,116785
China,100201,4636,1648,93917,1225000000,1439323776
