region,confirmed,deceased,vaccinated,population
Algeria,211297,6096,6740064,44976741
Zambia,210312,3667,806611,19115024
Albania,201402,3109,1075332,2873322
Botswana,195302,2419,921104,2419112
Uzbekistan,194333,1418,17687886,34159056
Finland,191226,1360,4303144,5552975
Kyrgyzstan,183615,2758,1135054,6677245
Montenegro,158283,2324,276861,628179
Afghanistan,157445,7312,4397449,40174039
Mozambique,151868,1941,6572756,32498836
Zimbabwe,138523,4709,3866139,15170633
Cyprus,136525,601,625138,1219868
Ghana,130920,1209,2651463,31994722
Namibia,129638,3573,366698,2606322
Uganda,127655,3254,3838439,47791313
Cambodia,120256,2960,14159169,17048061
El Salvador,119803,3783,4428668,6532792
Cameroon,107148,1804,777338,27484492
Rwanda,100404,1343,5987745,13408294
China,99142,4636,1225000000,1439323776
Maldives,92095,254,395807,554079
Jamaica,91421,2407,680289,2979566
Luxembourg,90774,880,454957,640459
Laos,78469,201,3744740,7425709
Trinidad and Tobago,74533,2236,648320,1405940
Senegal,74024,1886,1321923,17370585
Angola,65244,1735,6774984,34317436
Malawi,61966,2307,1175255,19832046
Ivory Coast,61817,705,,27306143
Reunion,61188,384,,904406
DR Congo,58319,1107,,93426585
Guadeloupe,55284,748,,400221
Fiji,52543,697,651320,905690
Kosovo,51144,1332,857361,
Suriname,50993,1170,258304,594112
Syria,48538,2772,890837,18104589
Eswatini,47368,1248,271668,1177255
French Polynesia,46323,636,,283219
French Guiana,46142,328,,309678
Martinique,45501,718,,374851
Madagascar,44800,972,532674,28702121
Sudan,43489,3164,1154253,45303820
Malta,39934,468,435937,443217
Mauritania,39510,838,1075584,4823235
Cape Verde,38439,351,296998,564579
Guyana,38118,1004,402142,791955
Gabon,37477,280,166353,2300346
Papua New Guinea,35390,550,269366,9187938
Guinea,30770,387,1658464,13638663
Belize,30680,579,228517,407890
Togo,26291,243,1097253,8554386
Tanzania,26270,730,885579,62150021
Barbados,25964,234,153670,287876
Haiti,25510,747,118222,11600267
Benin,24863,161,339452,12574185
Seychelles,23537,127,81937,99214
Somalia,23051,1331,589128,16522844
The Bahamas,22825,695,,398591
Mauritius,21973,455,916524,1274773
Lesotho,21838,663,581857,2166417
Mayotte,21003,185,,282166
Burundi,20439,38,814,12393539
Timor-Leste,19828,122,,1354140
Congo,18970,354,521700,5711024
Channel Islands,18893,104,,176143
Iceland,18333,35,285726,344395
Andorra,18010,132,54999,77441
Mali,17812,617,708943,21078985
Curacao,17470,179,,165048
Nicaragua,17254,210,4053890,6736677
Tajikistan,17095,124,3024020,9842030
Taiwan,16652,848,18281218,23878150
Aruba,16432,174,,107411
Burkina Faso,16000,286,364565,21717221
Brunei,15186,98,404070,443440
Equatorial Guinea,13599,175,247933,1468397
Djibouti,13508,187,78388,1008433
Saint Lucia,13027,282,54623,184822
South Sudan,12758,133,185148,11380424
Hong Kong,12462,213,4776423,7583538
New Caledonia,12249,279,,289403
New Zealand,12195,44,3923813,5002100
Isle of Man,11861,66,,85673
Central African Republic,11742,101,362298,4949155
Yemen,10021,1953,548933,30759385
The Gambia,9992,342,,2513072
Cayman Islands,7529,7,,66820
Eritrea,7458,61,,3616232
Gibraltar,7371,99,,33677
Niger,7061,261,507223,25449666
Guinea-Bissau,6444,149,349317,2034082
Sierra Leone,6402,121,703231,8207535
Dominica,6120,39,28908,72241
San Marino,5979,93,25455,34033
Grenada,5907,200,40561,113265
Liberia,5824,287,494052,5226567
Bermuda,5751,106,,61950
Chad,5701,181,185794,17095083
Saint Vincent and the Grenadines,5579,74,31580,111442
Liechtenstein,4893,62,25762,38284
Sint Maarten,4598,75,,43568
Comoros,4542,150,281946,895925
Antigua and Barbuda,4147,117,61418,99083
Saint Martin,3973,56,,39604
Monaco,3879,36,26672,39638
Faroe Islands,3796,13,,49127
São Tomé and Príncipe,3732,56,,224944
Turks and Caicos Islands,3103,25,,39462
Caribbean Netherlands,3026,22,,26570
British Virgin Islands,2809,38,,30517
Saint Kitts and Nevis,2789,28,27927,53735
Bhutan,2641,3,589215,783696
Saint Barthelemy,1603,6,,9920
Greenland,1582,,,56910
Anguilla,1414,3,,15194
Wallis and Futuna,454,7,6016,10958
Falkland Islands,83,,,3624
Macao,77,,486049,661925
Saint Pierre and Miquelon,59,,,5754
Montserrat,44,1,,4996
Vatican City,27,,,804
Solomon Islands,20,,161521,710812
Kiribati,,,59492,
Summer Olympics 2020,,,,
Spain,,,38409145,46780564
Western Sahara,10,1,,618201
Palau,8,,,18217
Vanuatu,6,1,89472,317342
Marshall Islands,4,,,59758
Samoa,3,,139865,200290
Saint Helena,2,,4361,6103
Tonga,1,,73183,107399
Micronesia,1,,,116738
