region,confirmed,deceased,active,recovered,vaccinated,population
Iran,6162954,130883,46336,5985735,58569046,85554505
Iraq,2089259,24017,7736,2057506,8009447,41532169
Ireland,636407,5835,133342,497230,3875788,5017914
Israel,1352403,8227,6342,1337834,6422632,9326000
Jamaica,91868,2432,25841,63595,698433,2979953
Jordan,1024032,12078,65042,946912,4245889,10350299
Kazakhstan,980860,12887,17655,950318,8865173,19102962
Kenya,257614,5350,3255,249009,5507903,55490007
South Korea,536495,4456,89746,442293,43104019,51333332
Kosovo,51144,1332,,40989,874041,
Kuwait,413847,2466,410,410971,3317686,4362290
Kyrgyzstan,184055,2775,2157,179123,1174065,6680483
Laos,93061,256,85466,7339,3744740,7428883
Latvia,264031,4408,10143,249480,1295089,1855867
Lebanon,694256,8886,41290,644080,2084121,6780998
Lesotho,23478,665,8929,13884,626669,2166927
Liberia,5844,287,22,5535,605468,5230149
Libya,379816,5576,7157,367083,1785671,7007000
Liechtenstein,5472,68,363,5041,25958,38287
Lithuania,495686,7039,27472,461175,1893482,2667037
Luxembourg,95222,896,6012,88314,454687,640765
Madagascar,45794,980,1421,43393,589003,28723586
Malawi,62933,2310,1623,59000,1276252,19846951
Maldives,93532,259,2022,91251,396207,554366
Mali,18855,634,2628,15593,822145,21096587
Malta,40892,471,1876,38545,437219,443252
Marshall Islands,4,,,4,,59770
Mauritania,39924,852,501,38571,1106694,4826921
Mauritius,22769,680,902,21187,916524,1274836
Moldova,370951,9434,5440,356077,989897,4020331
Monaco,4223,36,238,3949,26672,39646
Mongolia,385973,2039,70678,313256,2263123,3354947
Montenegro,160270,2365,1987,155918,280159,628182
Morocco,951984,14798,1306,935880,24561724,37546085
Mozambique,155495,1946,3534,150015,7105910,32525256
Namibia,133444,3578,3718,126148,378182,2607706
Nepal,825016,11565,5635,807816,10431659,29897595
New Zealand,13143,47,6903,6193,3954873,5002100
Nicaragua,17391,210,,4225,4402422,6739045
Niger,7176,270,27,6879,507223,25476162
Nigeria,220020,2983,5745,211292,7894068,213551163
North Macedonia,220169,7768,5498,206903,885888,2083250
Norway,334488,1202,244334,88952,4261038,5482841
Oman,304761,4113,534,300114,3310409,5295013
Panama,481438,7391,3486,470561,3017553,4413396
Papua New Guinea,35966,587,217,35162,282571,9193039
Paraguay,464004,16517,722,446765,3414571,7259804
Philippines,2836915,50449,10193,2776273,56110301,111699463
Poland,3881349,89714,447413,3344222,21222136,37786343
Portugal,1205993,18698,67960,1119335,9053901,10153478
Qatar,245855,614,2482,242759,2360308,2807805
Romania,1795418,57935,16978,1720505,7830179,19051059
Rwanda,100888,1344,54022,45522,6388237,13417972
Saint Kitts and Nevis,2797,28,8,2761,27358,53746
Saint Lucia,13115,285,79,12751,55063,184847
Saint Vincent and the Grenadines,5723,77,535,5111,32104,111452
Samoa,3,,,3,141356,200330
San Marino,6600,94,528,5978,24922,34035
São Tomé and Príncipe,3733,57,,3675,,225067
Saudi Arabia,550457,8857,1888,539712,24815793,35601169
Senegal,74105,1886,44,72175,1334702,17383892
Serbia,1278120,12275,31546,1234299,3291994,8686194
Seychelles,23806,129,,23294,82117,99232
Sierra Leone,6434,121,4421,1892,747044,8212420
Singapore,274617,807,4874,268936,4744632,5917202
Slovakia,788772,15621,99049,674102,2687040,5463487
Slovenia,443873,5444,20659,417770,1239256,2079353
Solomon Islands,20,,,20,176593,711320
Somalia,23074,1333,8924,12817,892093,16536221
South Africa,3231031,90226,191596,2949209,18452800,60394854
South Sudan,12969,133,260,12576,223920,11384367
Sri Lanka,576966,14677,16186,546103,15958080,21543752
Sudan,45112,3252,5851,36009,2782463,45334672
Suriname,51289,1179,20524,29586,259919,594269
Switzerland,1149097,11905,232833,904359,5919409,8746599
Syria,49493,2828,15895,30770,890837,18117404
Taiwan,16759,849,204,15706,18525192,23879442
Tajikistan,17095,124,,16966,3118206,9848484
Tanzania,26483,734,,183,1592897,62201362
Thailand,2178276,21258,46317,2110701,49923276,70054586
Timor-Leste,19830,122,,19704,,1354896
Togo,26442,243,247,25952,1349188,8560233
Trinidad and Tobago,82563,2486,14583,65494,699968,1406076
Tunisia,720143,25445,1401,693297,6312309,11998286
Turkey,9100324,79696,333363,8687265,56569332,85657520
Uganda,128212,3269,27050,97893,6525371,47834938
United Arab Emirates,743152,2151,2860,738141,9890441,10063986
Uruguay,403293,6147,2407,394739,2758019,3491229
Uzbekistan,196303,1445,1733,193125,18299019,34173640
Vanuatu,6,1,0,5,100264,317558
Venezuela,439444,5250,6722,427472,16415684,28318786
Vietnam,1459175,28616,367131,1063428,75140181,98611149
Palestine,435124,4589,3961,426574,2020110,5273473
Yemen,10081,1973,1153,6955,556652,30779173
Zambia,212278,3671,1864,206743,806611,19130557
Zimbabwe,177690,4745,42666,130279,3981769,15177138
Kiribati,,,,,59492,
Palau,8,,,8,,18219
Summer Olympics 2020,,,,,,
Tonga,1,,,1,73296,107435
United States,51287567,823384,10124925,40339258,239553956,333823623
India,34718669,476227,95511,34146931,820963910,1399716988
Brazil,22201221,617348,169555,21414318,164933940,214755203
United Kingdom,11010286,146791,1245554,9617941,51298838,68404314
Russia,10103160,292891,970636,8839633,70522059,146226276
Germany,6656161,107675,988786,5559700,60572136,84173371
Spain,,,,,38541413,46781107
Italy,5282076,135178,305653,4841245,47696102,60332558
Colombia,5099746,129256,30178,4940312,39598761,51670809
Mexico,3921682,296983,347079,3277620,80503005,130900782
Ukraine,3578557,91958,227283,3259316,14221536,43351667
Netherlands,2920438,20255,606093,2294090,13274722,17189987
Malaysia,2703140,30989,56989,2615162,25910292,32968335
Peru,2256796,201902,,,23347809,33638923
Belgium,1968269,27685,474303,1466281,8873393,11662937
Canada,1851057,29994,40384,1780679,31246968,38222990
Chile,1786184,38727,57413,1690044,17035641,19354637
Japan,1729035,18375,936,1709724,100097666,125913469
Pakistan,1289913,28843,9292,1251778,85736920,227118046
Sweden,1242733,15185,57671,1169877,7682186,10190786
Australia,235529,2117,19227,214185,20249293,25929684
Reunion,67237,393,,62026,,904597
Guadeloupe,55284,748,,2250,,400223
Martinique,46700,749,,104,,374842
French Guiana,46645,335,,11254,,309911
French Polynesia,46335,636,,,,283268
Channel Islands,21221,107,,19326,,176191
Mayotte,21139,185,,2964,,282364
Curacao,17657,183,,17309,,165068
Aruba,16673,178,,16275,,107425
Isle of Man,12812,67,,12020,,85687
New Caledonia,12421,280,,11976,,289486
Cayman Islands,8007,9,,4550,,66843
Gibraltar,7629,100,,7257,,33676
Bermuda,5784,106,,5643,,61943
Sint Maarten,4662,75,,4538,,43583
Faroe Islands,4477,13,,4040,,49133
Saint Martin,3973,56,,1399,,39623
Caribbean Netherlands,3162,22,,3016,,26577
Turks and Caicos Islands,3151,25,,3074,,39478
British Virgin Islands,2842,39,,,,30523
Greenland,1917,,,1668,,56913
Saint Barthelemy,1603,6,,,,9921
Anguilla,1592,4,,1521,,15198
Wallis and Futuna,454,7,9,438,6016,10953
Saint Pierre and Miquelon,96,,,74,,5753
Falkland Islands,83,,,,,3627
Montserrat,44,1,,43,,4996
Western Sahara,10,1,,8,,618644
Saint Helena,2,,,2,4361,6103
Micronesia,1,,,1,,116775
China,99923,4636,1460,93827,1225000000,1439323776
