region,confirmed,deceased,active,recovered,vaccinated,population
Hungary,1237330,38307,127251,1071772,6245773,9624016
Switzerland,1221424,12128,241799,967497,5956369,8748325
Greece,1070833,20350,63852,986631,7410828,10347634
Jordan,1051421,12444,45285,993692,4302428,10353065
Kazakhstan,985458,12969,15855,956634,8931073,19109097
Cuba,964607,8320,489,955798,10377251,11316376
Morocco,955587,14827,3182,937578,24610902,37558035
Georgia,922707,13443,31242,878022,1330278,3977825
Nepal,827058,11583,4978,810497,12251183,29911932
Slovakia,825246,16336,55302,753608,2711634,5463559
United Arab Emirates,749530,2156,6667,740707,9890417,10067251
Bulgaria,733882,30528,97807,605547,1904143,6870953
Tunisia,722795,25523,2178,695094,6562859,12001662
Lebanon,711259,9027,50058,652174,2198057,6780167
Ireland,705322,5890,158413,541019,3887772,5019421
Croatia,693102,12279,21851,658972,2251554,4067762
Belarus,692601,5484,2078,685039,4356041,9444719
Denmark,685408,3197,137008,545203,4784019,5822407
Guatemala,625127,16096,1190,607841,6472688,18405723
Azerbaijan,614119,8284,11915,593920,5153329,10274461
South Korea,607463,5245,108013,494205,43884305,51334533
Sri Lanka,583251,14871,9252,559128,15978824,21546199
Bolivia,575247,19530,37618,518099,5449955,11908636
Costa Rica,568860,7343,1278,560239,3934813,5162977
Saudi Arabia,552406,8870,2792,540744,24933604,35615992
Ecuador,540122,33641,62601,443880,14039879,18039425
Myanmar,529503,19251,3217,507035,18829259,54949839
Lithuania,510752,7265,25750,477737,1909194,2666007
Panama,487204,7411,6365,473428,3023620,4415253
Paraguay,465233,16599,1086,447548,3444261,7262197
Slovenia,455386,5535,16205,433646,1247913,2079361
Venezuela,442999,5312,6146,431541,18393519,28316594
Palestine,438087,4632,3786,429669,2053044,5276722
Kuwait,414911,2468,1144,411299,3329713,4364016
Dominican Republic,413887,4237,2400,407250,6932889,11008930
Uruguay,407099,6163,3930,397006,2763827,3491557
Ethiopia,395750,6894,36725,352131,9295910,119172553
Mongolia,388311,2054,73001,313256,2265391,3356390
Libya,384663,5641,6138,372884,1826165,7009553
Egypt,380520,21571,42293,316656,32102167,105188973
Honduras,379073,10430,244860,123783,4941269,10137656
Moldova,374349,9605,4533,360211,989897,4020076
Norway,372123,1257,281914,88952,4279565,5483998
Armenia,344379,7942,6126,330311,903661,2971445
Oman,304984,4113,636,300235,3121257,5298573
Australia,301280,2190,69826,229264,20397079,25937765
Bosnia and Herzegovina,287276,13269,81789,192218,882641,3250587
Kenya,281358,5359,26062,249937,6335069,55522443
Bahrain,279518,1394,1316,276808,1198777,1788905
Singapore,277555,821,2874,273860,4799168,5918458
Latvia,271228,4500,9631,257097,1307440,1855301
Qatar,247796,614,2567,244615,2360308,2807805
Estonia,236133,1907,13550,220676,839546,1327856
Nigeria,236014,3014,20643,212357,9242736,213691180
Zambia,231581,3697,17858,210026,806611,19144679
Finland,230392,1507,182885,46000,4345273,5553467
North Macedonia,222932,7894,4719,210319,840411,2083247
Algeria,216376,6229,61358,148789,7019879,45022233
Botswana,208994,2427,11088,195479,1131709,2421841
Albania,207542,3189,5220,199133,1131547,2873143
Zimbabwe,203746,4885,38887,159974,4095685,15183053
Uzbekistan,198099,1477,1618,195004,18665352,34186899
Kyrgyzstan,184439,2792,2102,179545,1213669,6683427
Mozambique,170975,1967,17718,151290,7845444,32549274
Montenegro,162828,2389,2647,157792,282405,628184
Afghanistan,157895,7349,5154,145392,4397449,40224465
Cyprus,149848,628,24850,124370,640890,1220371
Namibia,144629,3608,12451,128570,399636,2608965
Ghana,134555,1269,3365,129921,5774413,32032012
Uganda,133232,3274,31761,98197,8354808,47874597
El Salvador,121741,3818,10835,107088,4476802,6534665
Cambodia,120445,3008,584,116853,14239475,17061340
Cameroon,108451,1851,865,105735,806176,27522522
Laos,105380,317,97724,7339,3744740,7431769
Rwanda,104512,1346,57644,45522,7322935,13426771
Luxembourg,98983,907,5917,92159,458702,641044
Maldives,94732,261,2032,92439,396511,554626
Jamaica,92513,2462,25169,64882,709419,2980306
Trinidad and Tobago,89364,2738,16581,70045,707231,1406199
Senegal,74353,1890,171,72292,1328153,17395989
Reunion,71795,401,,65494,,904772
Angola,71142,1746,5401,63995,7423668,34376372
Malawi,70682,2328,8791,59563,1429632,19860502
DR Congo,70059,1126,,50930,,93583518
Eswatini,64381,1272,9273,53836,332743,1177944
Ivory Coast,63847,707,,61245,,27343734
Guadeloupe,56035,750,,2250,,400225
Fiji,52815,697,897,51221,661452,906062
Suriname,51563,1186,1295,49082,260987,594413
Syria,50051,2871,15389,31791,1186091,18129053
Madagascar,49590,1027,3855,44708,589003,28743100
Martinique,47300,769,,104,,374834
French Guiana,47229,337,,11254,,310123
French Polynesia,46376,636,,,,283312
Sudan,46100,3298,4510,38292,4016849,45362719
Malta,45678,474,5701,39503,440425,443284
Mauritania,40453,862,634,38957,1117799,4830271
Guyana,39086,1045,740,37301,440072,792172
Cape Verde,39013,351,493,38169,302802,564925
Gabon,38039,286,1532,36221,392898,2303368
Papua New Guinea,36110,589,147,35374,283915,9197677
Belize,31503,592,496,30415,229714,408304
Guinea,31038,389,846,29803,1739338,13659176
Togo,27992,246,1696,26050,1366662,8565548
Barbados,27629,260,989,26380,155459,287896
Lesotho,27595,665,12127,14803,648817,2167390
Tanzania,26483,734,,,1592897,62248035
Haiti,25950,765,2121,23064,122580,11608241
Benin,24935,161,69,24705,1561336,12592466
Seychelles,24197,131,,23742,82323,99248
Burundi,23657,38,22846,773,4010,12413947
Channel Islands,23627,112,,20939,,176235
The Bahamas,23539,713,,21745,,398806
Somalia,23532,1333,9251,12948,1164923,16548383
Mauritius,23170,762,694,21714,937052,1274894
Iceland,22087,37,2622,19428,287813,344522
Andorra,21730,139,1721,19870,56628,77448
Mayotte,21391,185,,2964,,282545
Mali,20011,653,1832,17526,866523,21112589
Timor-Leste,19833,122,,19704,,1355583
Congo,19490,367,6702,12421,734721,5718841
Curacao,18884,186,,17503,,165087
Aruba,17500,181,,16565,,107437
Nicaragua,17442,211,,4225,4628897,6741198
Tajikistan,17095,124,,16966,3520397,9854351
Burkina Faso,17040,317,473,16250,972376,21750231
Taiwan,16891,850,239,15802,18660339,23880616
Brunei,15429,98,142,15189,405092,443680
South Sudan,14577,135,1725,12717,227262,11387952
New Zealand,13855,50,1444,12361,3971055,5002100
Equatorial Guinea,13630,175,45,13410,249276,1471055
Djibouti,13568,189,53,13326,108945,1009258
Isle of Man,13438,67,,12771,,85699
Saint Lucia,13275,295,151,12829,55518,184870
New Caledonia,12581,280,,12103,,289561
Hong Kong,12581,213,179,12189,4851475,7587024
Central African Republic,11961,101,5001,6859,446712,4953979
Yemen,10111,1983,1126,7002,556652,30797162
The Gambia,10087,342,,9688,,2516982
Cayman Islands,8386,11,,4799,,66864
Gibraltar,8142,100,,7484,,33676
Eritrea,7873,72,,7637,,3619049
San Marino,7526,98,877,6551,24306,34037
Niger,7268,274,115,6879,507223,25500250
Sierra Leone,6706,123,,,747044,8216861
Dominica,6520,44,303,6173,29426,72251
Guinea-Bissau,6462,149,16,6297,389494,2036758
Bermuda,6014,106,,5674,,61937
Grenada,5956,200,75,5681,41064,113295
Liberia,5929,287,107,5535,784838,5233406
Liechtenstein,5895,69,388,5438,26137,38290
Saint Vincent and the Grenadines,5828,81,596,5151,33316,111462
Chad,5701,181,646,4874,285922,17122237
Comoros,5479,153,,4434,282378,896990
Faroe Islands,5145,13,,4687,,49138
Sint Maarten,4774,75,,4598,,43596
Monaco,4750,38,387,4325,26672,39654
Antigua and Barbuda,4236,118,59,4059,62154,99129
Saint Martin,4008,56,,1399,,39641
São Tomé and Príncipe,3755,57,,3676,,225178
Caribbean Netherlands,3272,23,,3147,,26584
Turks and Caicos Islands,3235,26,,3107,,39492
British Virgin Islands,3016,39,,,,30529
Saint Kitts and Nevis,2836,28,34,2774,27523,53756
Bhutan,2659,3,14,2642,589762,784183
Greenland,2249,,,1875,,56916
Anguilla,1646,5,,1605,,15201
Saint Barthelemy,1621,6,,,,9922
Wallis and Futuna,454,7,9,438,6016,10947
Saint Pierre and Miquelon,98,,,78,,5752
Falkland Islands,83,,,,,3630
Macao,77,,,77,491671,662433
Montserrat,45,1,,43,,4996
Vatican City,27,,,27,,804
Solomon Islands,20,,,20,179973,711781
Western Sahara,10,1,,8,,619046
Palau,8,,,8,,18222
Vanuatu,7,1,0,6,102308,317755
Marshall Islands,4,,,4,,59781
Samoa,3,,,3,141424,200366
Saint Helena,2,,,2,4361,6104
Micronesia,1,,,1,,116808
Tonga,1,,,1,73609,107468
China,101077,4636,2011,94430,1225000000,1439323776
