region,confirmed,deceased,vaccinated,population
Mali,17971,618,708943,21082185
Curacao,17487,180,,165052
Nicaragua,17254,210,4053890,6737107
Tajikistan,17095,124,3024020,9843204
Taiwan,16683,848,18302323,23878385
Aruba,16450,174,,107414
Burkina Faso,16000,286,364565,21720365
Brunei,15202,98,404371,443462
Equatorial Guinea,13599,175,247933,1468650
Djibouti,13508,188,78388,1008512
Saint Lucia,13052,283,54804,184826
South Sudan,12823,133,185148,11381141
Hong Kong,12467,213,4780357,7583870
New Zealand,12428,44,3926572,5002100
New Caledonia,12291,279,,289418
Isle of Man,12035,66,,85676
Central African Republic,11742,101,362298,4949614
Yemen,10034,1955,548933,30762982
The Gambia,9992,342,,2513444
Cayman Islands,7663,9,,66824
Eritrea,7484,61,,3616500
Gibraltar,7376,100,,33677
Niger,7091,264,507223,25454484
Guinea-Bissau,6444,149,349317,2034337
Sierra Leone,6402,121,703231,8208424
San Marino,6217,94,25455,34033
Dominica,6086,42,28908,72241
Grenada,5909,200,40561,113268
Liberia,5824,287,494052,5227218
Bermuda,5751,106,,61949
Chad,5701,181,185794,17097669
Saint Vincent and the Grenadines,5623,76,31696,111444
Liechtenstein,4941,62,25762,38284
Sint Maarten,4608,75,,43571
Comoros,4548,151,281946,896027
Antigua and Barbuda,4148,117,61418,99087
Saint Martin,3973,56,,39607
Faroe Islands,3957,13,,49128
Monaco,3902,36,26672,39639
São Tomé and Príncipe,3733,56,,224967
Turks and Caicos Islands,3107,25,,39465
Caribbean Netherlands,3057,22,,26571
British Virgin Islands,2816,38,,30518
Saint Kitts and Nevis,2790,28,27927,53737
Bhutan,2641,3,589215,783742
Greenland,1621,,,56911
Saint Barthelemy,1603,6,,9920
Anguilla,1469,4,,15194
Wallis and Futuna,454,7,6016,10957
Saint Pierre and Miquelon,86,,,5754
Falkland Islands,83,,,3624
Macao,77,,486338,661973
Montserrat,44,1,,4996
Vatican City,27,,,804
Solomon Islands,20,,161521,710904
Kiribati,,,59492,
Summer Olympics 2020,,,,
Spain,,,38409145,46780663
Western Sahara,10,1,,618282
Palau,8,,,18217
Vanuatu,6,1,89472,317381
Marshall Islands,4,,,59761
Samoa,3,,139865,200298
Saint Helena,2,,4361,6103
Tonga,1,,73183,107406
Micronesia,1,,,116745
